listing_url,featured
https://garasi.id/mobil-bekas/2015-toyota-avanza/00px782,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pt235,False
https://garasi.id/mobil-bekas/2018-toyota-avanza/00pp257,False
https://garasi.id/mobil-bekas/2016-toyota-avanza/00ph821,False
https://garasi.id/mobil-bekas/2016-toyota-avanza/00pg271,False
https://garasi.id/mobil-bekas/2016-toyota-avanza/00pg222,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00oy821,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pe804,True
https://garasi.id/mobil-bekas/2016-toyota-avanza/00qg859,True
https://garasi.id/mobil-bekas/2015-toyota-avanza/00oy361,False
https://garasi.id/mobil-bekas/2016-toyota-avanza/00qi304,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pd844,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pd671,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pc217,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pc194,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pc150,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qf221,False
https://garasi.id/mobil-bekas/2016-toyota-avanza/00ou783,True
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pd181,True
https://garasi.id/mobil-bekas/2017-toyota-avanza/00qe930,False
https://garasi.id/mobil-bekas/2016-toyota-avanza/00qe141,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00ph884,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00nb647,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pu828,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pu021,False
https://garasi.id/mobil-bekas/2016-toyota-avanza/00ps771,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00ow651,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qi868,True
https://garasi.id/mobil-bekas/2016-toyota-avanza/00qf039,True
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qj093,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qj092,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qi817,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qi814,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qi486,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qi289,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00pa925,True
https://garasi.id/mobil-bekas/2016-toyota-avanza/00pr006,True
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qi269,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qi217,False
https://garasi.id/mobil-bekas/2015-toyota-avanza/00qi179,False
